x1,x2
Afghanistan,1
Albania,2
Algeria,3
Andorra,4
Angola,5
Antigua and Barbuda,6
Argentina,7
Armenia,8
Australia,9
Australia: Australian Capital Territory,10
Australia: New South Wales,11
Australia: Northern Territory,12
Australia: Queensland,13
Australia: South Australia,14
Australia: Tasmania,15
Australia: Victoria,16
Australia: Western Australia,17
Austria,18
Azerbaijan,19
Bahamas,20
Bahrain,21
Bangladesh,22
Barbados,23
Belarus,24
Belgium,25
Belize,26
Benin,27
Bhutan,28
Bolivia,29
Bosnia and Herzegovina,30
Botswana,31
Brazil,32
Brunei,33
Bulgaria,34
Burkina Faso,35
Burma,36
Burundi,37
Cabo Verde,38
Cambodia,39
Cameroon,40
Canada,41
Canada: Alberta,42
Canada: British Columbia,43
Canada: Diamond Princess,44
Canada: Grand Princess,45
Canada: Manitoba,46
Canada: New Brunswick,47
Canada: Newfoundland and Labrador,48
Canada: Northwest Territories,49
Canada: Nova Scotia,50
Canada: Ontario,51
Canada: Prince Edward Island,52
Canada: Quebec,53
Canada: Recovered,54
Canada: Saskatchewan,55
Canada: Yukon,56
Central African Republic,57
Chad,58
Chile,59
China,60
China: Anhui,61
China: Beijing,62
China: Chongqing,63
China: Fujian,64
China: Gansu,65
China: Guangdong,66
China: Guangxi,67
China: Guizhou,68
China: Hainan,69
China: Hebei,70
China: Heilongjiang,71
China: Henan,72
China: Hong Kong,73
China: Hubei,74
China: Hunan,75
China: Inner Mongolia,76
China: Jiangsu,77
China: Jiangxi,78
China: Jilin,79
China: Liaoning,80
China: Macau,81
China: Ningxia,82
China: Qinghai,83
China: Shaanxi,84
China: Shandong,85
China: Shanghai,86
China: Shanxi,87
China: Sichuan,88
China: Tianjin,89
China: Tibet,90
China: Xinjiang,91
China: Yunnan,92
China: Zhejiang,93
Colombia,94
Congo (Brazzaville),95
Congo (Kinshasa),96
Costa Rica,97
Cote d'Ivoire,98
Croatia,99
Cuba,100
Cyprus,101
Czechia,102
Denmark,103
Denmark: Faroe Islands,104
Denmark: Greenland,105
Denmark: Mainland,106
Diamond Princess,107
Djibouti,108
Dominica,109
Dominican Republic,110
Ecuador,111
Egypt,112
El Salvador,113
Equatorial Guinea,114
Eritrea,115
Estonia,116
Eswatini,117
Ethiopia,118
Fiji,119
Finland,120
France,121
France: French Guiana,122
France: French Polynesia,123
France: Guadeloupe,124
France: Mainland,125
France: Martinique,126
France: Mayotte,127
France: New Caledonia,128
France: Reunion,129
France: Saint Barthelemy,130
France: Saint Pierre and Miquelon,131
France: St Martin,132
Gabon,133
Gambia,134
Georgia,135
Germany,136
Ghana,137
Greece,138
Grenada,139
Guatemala,140
Guinea,141
Guinea-Bissau,142
Guyana,143
Haiti,144
Holy See,145
Honduras,146
Hungary,147
Iceland,148
India,149
Indonesia,150
Iran,151
Iraq,152
Ireland,153
Israel,154
Italy,155
Jamaica,156
Japan,157
Jordan,158
Kazakhstan,159
Kenya,160
"Korea, South",161
Kosovo,162
Kuwait,163
Kyrgyzstan,164
Laos,165
Latvia,166
Lebanon,167
Liberia,168
Libya,169
Liechtenstein,170
Lithuania,171
Luxembourg,172
MS Zaandam,173
Madagascar,174
Malawi,175
Malaysia,176
Maldives,177
Mali,178
Malta,179
Mauritania,180
Mauritius,181
Mexico,182
Moldova,183
Monaco,184
Mongolia,185
Montenegro,186
Morocco,187
Mozambique,188
Namibia,189
Nepal,190
Netherlands,191
Netherlands: Aruba,192
"Netherlands: Bonaire, Sint Eustatius and Saba",193
Netherlands: Curacao,194
Netherlands: Mainland,195
Netherlands: Sint Maarten,196
New Zealand,197
Nicaragua,198
Niger,199
Nigeria,200
North Macedonia,201
Norway,202
Oman,203
Pakistan,204
Panama,205
Papua New Guinea,206
Paraguay,207
Peru,208
Philippines,209
