date,country,metric,point_forecast,lo_80,hi_80,lo_95,hi_95,population
2021-12-18,Afghanistan,cases,157706.25197720053,157498.3867264293,157914.11722797176,157388.34950951804,158024.15444488302,3.8928341e7
2021-12-19,Afghanistan,cases,157710.622300438,157402.5627088596,158018.6818920164,157239.48581181045,158181.75878906556,3.8928341e7
2021-12-20,Afghanistan,cases,157714.90521718352,157289.04745980763,158140.76297455942,157063.61198058323,158366.1984537838,3.8928341e7
2021-12-21,Afghanistan,cases,157719.10247556752,157161.8771555534,158276.32779558163,156866.8998893709,158571.30506176414,3.8928341e7
2021-12-22,Afghanistan,cases,157723.21578875772,157023.38295619382,158423.04862132162,156652.91383298664,158793.5177445288,3.8928341e7
2021-12-23,Afghanistan,cases,157727.24683565853,156875.1285216453,158579.36514967176,156424.04433414765,159030.4493371694,3.8928341e7
2021-12-24,Afghanistan,cases,157731.19726159624,156718.27187978523,158744.12264340726,156182.06157267655,159280.33295051593,3.8928341e7
2021-12-25,Afghanistan,cases,157735.06867899062,156553.72665799447,158916.41069998677,155928.36196751136,159541.77539046988,3.8928341e7
2021-12-26,Afghanistan,cases,157738.86266801303,156382.24426400426,159095.4810720218,155664.09386111645,159813.6314749096,3.8928341e7
2021-12-27,Afghanistan,cases,157742.5807772314,156204.46059693611,159280.7009575267,155390.22895751207,160094.93259695073,3.8928341e7
2021-12-28,Afghanistan,cases,157746.22452424228,156020.92496190965,159471.5240865749,155107.606543016,160384.84250546855,3.8928341e7
2021-12-29,Afghanistan,cases,157749.79539629028,155832.1191971666,159667.47159541395,154816.96273832786,160682.6280542527,3.8928341e7
2021-12-30,Afghanistan,cases,157753.2948508751,155638.4710017158,159868.1187000344,154518.9508810816,160987.6388206686,3.8928341e7
2021-12-31,Afghanistan,cases,157756.72431634646,155440.36361209658,160073.08502059634,154214.1563248632,161299.29230782972,3.8928341e7
2022-01-01,Afghanistan,cases,157760.08519248705,155238.14306448872,160282.0273204854,153903.1075453406,161617.0628396335,3.8928341e7
2022-01-02,Afghanistan,cases,157763.37885108392,155032.12379362294,160494.6339085449,153586.28470275635,161940.4729994115,3.8928341e7
2022-01-03,Afghanistan,cases,157766.6066364884,154822.59304683452,160710.6202261423,153264.12639234305,162269.08688063375,3.8928341e7
2022-01-04,Afghanistan,cases,157769.7698661647,154609.81442984636,160929.725302483,152937.03506684076,162602.5046654886,3.8928341e7
2022-01-05,Afghanistan,cases,157772.86983122776,154394.03080086876,161151.70886158675,152605.3814623554,162940.3582001001,3.8928341e7
2022-01-06,Afghanistan,cases,157775.9077969703,154175.46666545112,161376.3489284895,152269.50826068988,163282.30733325073,3.8928341e7
2021-12-18,Afghanistan,deaths,7333.344900319985,7322.4478447819065,7344.241955858063,7316.679292032041,7350.010508607928,3.8928341e7
2021-12-19,Afghanistan,deaths,7334.594849120003,7318.564938109688,7350.6247601303185,7310.079215804656,7359.110482435351,3.8928341e7
2021-12-20,Afghanistan,deaths,7335.819798903895,7313.787426543088,7357.8521712647025,7302.124193138077,7369.5154046697135,3.8928341e7
2021-12-21,Afghanistan,deaths,7337.020249652785,7308.310788768819,7365.729710536752,7293.112918210977,7380.927581094594,3.8928341e7
2021-12-22,Afghanistan,deaths,7338.196691348161,7302.249538552103,7374.143844144219,7283.220265333581,7393.173117362741,3.8928341e7
2021-12-23,Afghanistan,deaths,7339.349604171863,7295.681227399782,7383.017980943943,7272.564585107701,7406.134623236025,3.8928341e7
2021-12-24,Afghanistan,deaths,7340.47945870208,7288.663658179231,7392.2952592249285,7261.234030281306,7419.724887122853,3.8928341e7
2021-12-25,Afghanistan,deaths,7341.586716105421,7281.242644573258,7401.930787637584,7249.298422709058,7433.875009501784,3.8928341e7
2021-12-26,Afghanistan,deaths,7342.67182832515,7273.456000445996,7411.887656204304,7236.815354461288,7448.528302189013,3.8928341e7
2021-12-27,Afghanistan,deaths,7343.73523826565,7265.335821590023,7422.1346549412765,7223.833677357426,7463.636799173874,3.8928341e7
2021-12-28,Afghanistan,deaths,7344.777379973203,7256.909904610679,7432.644855335727,7210.395672866613,7479.159087079794,3.8928341e7
2021-12-29,Afghanistan,deaths,7345.798678813149,7248.202688728474,7443.394668897825,7196.538492376402,7495.058865249896,3.8928341e7
2021-12-30,Afghanistan,deaths,7346.799551643511,7239.235913744651,7454.363189542371,7182.295163372342,7511.30393991468,3.8928341e7
2021-12-31,Afghanistan,deaths,7347.780406985135,7230.0290987660865,7465.531715204184,7167.695321494458,7527.865492475813,3.8928341e7
2022-01-01,Afghanistan,deaths,7348.741645188439,7220.599902089159,7476.88338828772,7152.765760843868,7544.717529533011,3.8928341e7
2022-01-02,Afghanistan,deaths,7349.683658596819,7210.964399063181,7488.402918130458,7137.5308588517255,7561.836458341913,3.8928341e7
2022-01-03,Afghanistan,deaths,7350.606831706792,7201.137301426457,7500.076361987127,7122.01291164,7579.200751773584,3.8928341e7
2022-01-04,Afghanistan,deaths,7351.511541324929,7191.132133693505,7511.890948956352,7106.232403699375,7596.790678950482,3.8928341e7
2022-01-05,Afghanistan,deaths,7352.39815672166,7180.961377268297,7523.834936175022,7090.208228210013,7614.588085233307,3.8928341e7
2022-01-06,Afghanistan,deaths,7353.267039781993,7170.636589806868,7535.897489757118,7073.9578695111295,7632.576210052856,3.8928341e7
2021-12-18,Afghanistan,recovered,-2.3985359473708923e-11,-4043.7681092758676,4043.7681092758194,-6184.409639922899,6184.409639922852,3.8928341e7
2021-12-19,Afghanistan,recovered,-4.3082744009093955e-11,-5732.521827233625,5732.52182723354,-8767.135575378139,8767.135575378052,3.8928341e7
2021-12-20,Afghanistan,recovered,-5.83762585601815e-11,-7044.066187757662,7044.066187757546,-10772.9695814888,10772.969581488684,3.8928341e7
2021-12-21,Afghanistan,recovered,-7.062356849369388e-11,-8159.36952804282,8159.369528042678,-12478.678846388484,12478.678846388342,3.8928341e7
