country,population
Afghanistan,3.8928341e7
Albania,2.8778e6
Algeria,4.3851043e7
Andorra,77265.0
Angola,3.2866268e7
Antigua and Barbuda,97928.0
Argentina,4.5195777e7
Armenia,2.963234e6
Australia,2.5499881e7
Australia: Australian Capital Territory,418440.0
Australia: New South Wales,7.544e6
Australia: Northern Territory,244300.0
Australia: Queensland,5.071e6
Australia: South Australia,1.677e6
Australia: Tasmania,515000.0
Australia: Victoria,6.359e6
Australia: Western Australia,2.589e6
Austria,9.0064e6
Azerbaijan,1.0139175e7
Bahamas,393248.0
Bahrain,1.701583e6
Bangladesh,1.64689383e8
Barbados,287371.0
Belarus,9.449321e6
Belgium,1.1589616e7
Belize,397621.0
Benin,1.2123198e7
Bhutan,771612.0
Bolivia,1.1673029e7
Bosnia and Herzegovina,3.280815e6
Botswana,2.351625e6
Brazil,2.12559409e8
Brunei,437483.0
Bulgaria,6.948445e6
Burkina Faso,2.0903278e7
Burma,5.4409794e7
Burundi,1.1890781e7
Cabo Verde,555988.0
Cambodia,1.6718971e7
Cameroon,2.6545864e7
Canada,3.7742157e7
Canada: Alberta,4.371e6
Canada: British Columbia,5.071e6
Canada: Diamond Princess,2000.0
Canada: Grand Princess,2000.0
Canada: Manitoba,1.369e6
Canada: New Brunswick,776827.0
Canada: Newfoundland and Labrador,521542.0
Canada: Northwest Territories,44826.0
Canada: Nova Scotia,971395.0
Canada: Ontario,1.457e7
Canada: Prince Edward Island,156947.0
Canada: Quebec,8.485e6
Canada: Saskatchewan,1.174e6
Canada: Yukon,35874.0
Central African Republic,4.829764e6
Chad,1.6425859e7
Chile,1.9116209e7
China,1.439323774e9
China: Anhui,5.950051e7
China: Beijing,1.9612368e7
China: Chongqing,2.884617e7
China: Fujian,3.6894216e7
China: Gansu,2.5575254e7
China: Guangdong,1.1346e8
China: Guangxi,4.6026629e7
China: Guizhou,3.4746468e7
China: Hainan,9.258e6
China: Hebei,7.47e7
China: Heilongjiang,3.8312224e7
China: Henan,9.559e7
China: Hong Kong,7.0712e6
China: Hubei,5.723774e7
China: Hunan,9.1713e6
China: Inner Mongolia,2.4706321e7
China: Jiangsu,7.8659903e7
